0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
2.517833333,2.9308,2.370483333,2.241966667,2.1143,1.865983333,2.13355,2.85955,2.400333333,2.794316667,3.226016667,4.484416667,4.411816667,3.7538,4.031983333,4.62445,4.875366667,4.7314,4.899816667,4.899816667,4.108166667,4.358216667,5.013983333,3.259783333,
3.247683333,2.83035,3.1599,2.756,2.63515,2.298866667,2.1013,2.653983333,2.560016667,3.229448276,3.68602,2.971716667,3.522416667,3.845366667,4.322116667,5.928633333,4.911883333,4.249316667,4.2424,4.320733333,3.533416667,3.293883333,2.663166667,3.075716667,
2.6646,2.251783333,2.01815,2.377383333,2.02825,1.833716667,2.203883333,2.865733333,3.321266667,3.644333333,3.691033333,2.259,1.65415,2.868216667,3.87205,3.999416667,4.143533333,3.952,4.00015,3.72065,3.553833333,3.403933333,3.214883333,2.186333333,
1.9301,1.660583333,1.687366667,1.669833333,1.6182,1.44205,1.55555,1.604183333,2.566516667,3.885122807,4.562733333,2.211416667,1.98785,1.8345,2.584815789,5.675755102,4.461716667,3.933366667,4.027966667,3.88015,2.667233333,3.251666667,3.44585,2.901233333,
2.060633333,2.0163,1.720983333,1.423266667,1.663966667,1.413733333,1.6754,2.901466667,3.183683333,3.06615,2.7581,2.237566667,2.431116667,2.857916667,2.670666667,2.798333333,4.172233333,3.544883333,3.113916667,4.251716667,4.141316667,3.5571,3.307366667,2.243283333,
1.927733333,2.761133333,2.7834,2.495566667,2.20765,2.0381,2.091516667,2.027466667,1.351733333,1.5033,1.74385,4.049483333,3.640333333,2.515816667,3.00115,4.068583333,4.0111,4.115533333,4.2331,4.041133333,3.835383333,3.9214,3.443566667,3.143833333,
2.6841,3.131816667,2.4565,2.3044,2.404783333,1.92055,1.271633333,2.059116667,3.780683333,4.862183333,3.447083333,2.222533333,2.334433333,2.423933333,3.3913,4.492883333,3.980683333,4.611466667,4.536233333,4.240966667,4.335733333,3.72625,3.682333333,2.7499,
1.976033333,1.834866667,1.791333333,1.694366667,1.660366667,1.646983333,1.663983333,3.058683333,3.079716667,3.205416667,3.59705,4.605016667,4.260783333,3.8695,4.061883333,3.819733333,4.035133333,4.122166667,3.781266667,3.87765,3.661266667,3.659366667,3.173566667,2.125616667,
1.776583333,1.742616667,1.649266667,1.476666667,1.667816667,1.628016667,1.63885,1.548983333,2.818754386,3.735980769,3.095611111,5.052041667,5.667151515,3.911896552,4.36036,4.253166667,4.09335,3.675316667,3.48495,3.100166667,3.342183333,3.07245,2.7845,1.779266667,
1.738366667,1.675333333,1.497116667,1.667716667,1.690733333,1.691583333,1.463766667,2.260566667,3.299866667,4.189641026,5.241744186,4.0211,4.157333333,3.173,1.62485,2.38775,3.505366667,3.9004,4.165383333,3.8322,3.679533333,3.5331,2.3374,1.784816667,
2.2516,2.465166667,2.123033333,2.02865,1.98435,1.759716667,1.707266667,2.514966667,3.126616667,4.565666667,2.896716667,1.990366667,2.389383333,2.204783333,3.308433333,3.186233333,2.65785,3.8692,4.2562,4.02335,3.054516667,3.28475,3.372283333,3.043566667,
2.029283333,2.016666667,1.8068,1.710433333,1.6929,1.734816667,2.040716667,3.036416667,3.190716667,3.270783333,3.406,4.28875,3.743016667,3.844266667,3.932533333,3.839866667,3.864516667,3.705533333,3.78295,3.772616667,3.714566667,3.2158,3.012466667,3.4099,
3.05025,2.2511,2.986616667,2.5926,2.472233333,2.126466667,2.043783333,2.489933333,2.867366667,3.592983333,8.152224138,4.755016667,2.836566667,6.93205,5.577516667,5.412916667,4.377733333,4.155166667,4.905166667,4.348633333,4.2096,3.625333333,3.208733333,4.938483333,
3.476,2.5781,2.132766667,1.957633333,2.097333333,1.87675,1.853383333,2.953133333,3.277766667,2.018566667,3.613375,3.387355932,3.6858,3.678166667,4.014807018,7.578194444,3.924516667,3.931483333,3.869033333,3.861116667,3.637583333,3.645733333,3.49425,2.04215,
2.0192,1.840366667,1.6841,1.688966667,1.663166667,1.6545,1.682216667,2.839316667,1.947066667,2.169933333,3.376333333,2.632516667,3.293033333,5.061566667,6.61715,4.395616667,4.374233333,9.458338983,4.453016667,3.967233333,3.525266667,3.605633333,2.955433333,1.95045,
2.17675,1.822,1.663333333,1.737983333,1.647383333,1.700283333,1.644166667,1.610433333,4.031,3.63815,4.604816667,5.007066667,5.11795,5.306116667,5.419366667,4.689566667,4.228433333,2.632833333,3.269166667,4.08265,4.070716667,3.878566667,3.807066667,3.52545,
1.898716667,1.8466,2.053566667,1.840633333,1.777916667,1.770416667,1.639716667,2.480533333,4.478,4.554866667,4.231266667,3.052016667,2.971033333,3.103133333,3.673369565,3.60528,3.202783333,4.059170732,3.092616667,2.77145,2.699866667,2.7475,3.40385,3.43065,
2.485866667,2.019683333,2.02205,1.858783333,1.712516667,1.702166667,1.83905,2.100916667,2.427533333,2.240833333,3.539266667,4.317033333,2.96715,2.955533333,2.4496,2.814616667,3.823616667,3.7623,3.374316667,2.878666667,2.277666667,1.838966667,2.511733333,2.798066667,
2.13765,1.918433333,1.70355,1.7251,1.6741,1.6651,1.698333333,1.672066667,2.113466667,3.39045,4.259916667,4.908283333,2.336883333,1.789783333,1.800216667,1.7931,2.205133333,1.626033333,1.710583333,2.533116667,4.285903846,2.847666667,3.093733333,2.285583333,
