0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0,0,0,0,0,0,0,0.14,1.15,2.24,3.05,3.61,3.91,3.8,3.4,2.63,1.52,0.49,0,0,0,0,0,0
0,0,0,0,0,0,0,0.13,1.14,2.24,3.11,3.8,4.07,3.95,3.41,2.62,1.57,0.45,0,0,0,0,0,0
0,0,0,0,0,0,0,0.13,1.14,2.23,3.16,3.8,4.07,3.96,3.43,2.64,1.61,0.49,0,0,0,0,0,0
0,0,0,0,0,0,0,0.13,1.13,2.23,3.13,3.8,4.08,3.97,3.49,2.65,1.63,0.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.13,2.17,3.11,3.75,4.09,3.98,3.49,2.68,1.64,0.52,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.12,2.22,3.16,3.81,4.05,3.94,3.47,2.69,1.65,0.54,0,0,0,0,0,0
0,0,0,0,0,0,0,0.12,1.1,2.22,3.14,3.76,4.06,3.96,3.43,2.65,1.59,0.53,0,0,0,0,0,0
0,0,0,0,0,0,0,0.12,1.1,2.22,3.14,3.8,4.12,4.02,3.53,2.72,1.64,0.57,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.12,2.23,3.14,3.83,4.12,4.03,3.55,2.68,1.66,0.56,0,0,0,0,0,0
0,0,0,0,0,0,0,0.09,1.11,2.22,3.17,3.83,4.13,4.04,3.56,2.7,1.67,0.57,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.11,2.23,3.18,3.82,4.14,4.05,3.58,2.77,1.69,0.61,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.11,2.23,3.18,3.85,4.15,4.06,3.59,2.79,1.74,0.61,0,0,0,0,0,0
0,0,0,0,0,0,0,0.08,1.11,2.23,3.19,3.85,4.16,4.08,3.61,2.8,1.76,0.62,0,0,0,0,0,0
0,0,0,0,0,0,0,0.08,1.11,2.23,3.19,3.86,4.17,4.1,3.62,2.82,1.77,0.65,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,1.11,2.24,3.2,3.87,4.19,4.11,3.64,2.84,1.79,0.66,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,1.11,2.24,3.2,3.89,4.2,4.12,3.65,2.85,1.81,0.67,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,1.03,2.16,3.08,3.77,4.18,4.1,3.67,2.86,1.81,0.67,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,1.09,2.24,3.22,3.86,4.19,4.12,3.59,2.88,1.73,0.7,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,1.12,2.25,3.22,3.92,4.24,4.16,3.71,2.9,1.85,0.71,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,1.1,2.26,3.23,3.93,4.25,4.18,3.72,2.92,1.87,0.72,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,1.12,2.26,3.24,3.93,1.93,1.9,2.77,1.64,1.12,0.74,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.1,2.27,3.24,3.89,4.28,4.22,3.76,2.9,1.64,0.75,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.13,2.28,3.26,3.91,4.16,4.1,3.66,2.89,1.92,0.77,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.14,2.28,3.27,3.97,4.31,4.25,3.79,2.99,1.93,0.78,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.14,2.29,3.29,3.99,4.33,4.27,3.81,3.01,1.95,0.79,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.15,2.3,3.29,4,4.33,4.27,3.82,3.02,1.97,0.81,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,1.16,2.29,3.3,4,4.32,4.26,3.84,3.03,1.97,0.82,0,0,0,0,0,0
0,0,0,0,0,0,0,0.12,1.14,2.3,3.32,4.03,4.38,4.32,3.86,3.06,2,0.83,0,0,0,0,0,0
0,0,0,0,0,0,0,0.12,1.15,2.33,3.33,4.05,4.39,4.34,3.88,3.08,1.98,0.85,0,0,0,0,0,0
0,0,0,0,0,0,0,0.11,0.92,2.32,3.34,3.91,4.32,4.27,3.9,3.1,2.03,0.86,0,0,0,0,0,0
0,0,0,0,0,0,0,0.13,1.18,2.35,3.35,4.08,4.43,4.37,3.92,3.11,2.05,0.87,0,0,0,0,0,0
0,0,0,0,0,0,0,0.12,1.19,2.36,3.35,4.08,4.44,4.39,3.94,3.11,2.06,0.85,0,0,0,0,0,0
0,0,0,0,0,0,0,0.13,1.2,2.35,3.37,4.11,4.46,4.41,3.96,3.15,2.05,0.9,0.01,0,0,0,0,0
0,0,0,0,0,0,0,0.13,1.21,2.38,3.39,4.13,4.48,4.43,3.97,3.15,2.07,0.88,0.01,0,0,0,0,0
0,0,0,0,0,0,0,0.14,1.19,2.38,3.4,4.12,4.5,4.45,4,3.18,2.09,0.9,0.01,0,0,0,0,0
0,0,0,0,0,0,0,0.15,1.22,2.41,3.43,4.16,4.52,4.47,4.01,3.2,2.11,0.92,0.02,0,0,0,0,0
