0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,,,,
0,0,0,0,0,0,0,0,0.70 ,48.30 ,248.70 ,389.30 ,406.30 ,413.70 ,411.90 ,410.40 ,408.50 ,371.40 ,255.50 ,33.80 ,0.10 ,0,0,0,,,,
0,0,0,0,0,0,0,0,0.80 ,51.90 ,281.70 ,381.80 ,405.30 ,408.60 ,394.60 ,397.70 ,379.80 ,371.80 ,245.20 ,39.10 ,0.00 ,0,0,0,,,,
0,0,0,0,0,0,0,0,0.70 ,48.70 ,274.90 ,379.50 ,403.30 ,403.90 ,381.90 ,376.10 ,364.20 ,334.60 ,220.00 ,38.20 ,0.20 ,0,0,0,,,,
0,0,0,0,0,0,0,0,0.60 ,25.00 ,168.90 ,244.00 ,291.20 ,314.20 ,285.50 ,282.80 ,257.30 ,225.50 ,142.50 ,26.40 ,0.20 ,0,0,0,,,,
0,0,0,0,0,0,0,0,0.80 ,35.30 ,203.70 ,302.00 ,339.40 ,349.90 ,320.70 ,323.20 ,314.90 ,256.60 ,172.00 ,29.20 ,0.40 ,0,0,0,,,,
0,0,0,0,0,0,0,0,1.30 ,14.10 ,30.50 ,65.30 ,87.20 ,103.00 ,126.00 ,124.10 ,107.40 ,79.60 ,52.00 ,22.80 ,1.60 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.00 ,21.20 ,73.20 ,129.10 ,163.40 ,191.70 ,215.00 ,205.20 ,189.50 ,159.50 ,114.20 ,36.30 ,3.60 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.20 ,59.20 ,286.80 ,346.70 ,370.20 ,382.50 ,409.30 ,409.10 ,402.80 ,374.00 ,279.60 ,58.60 ,2.10 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.10 ,57.90 ,253.40 ,328.90 ,352.90 ,358.00 ,359.80 ,365.50 ,356.50 ,338.70 ,255.70 ,57.70 ,0.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,1.30 ,35.70 ,177.30 ,227.70 ,254.40 ,258.20 ,290.20 ,276.50 ,279.30 ,254.50 ,176.10 ,34.60 ,0.70 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.70 ,58.80 ,268.80 ,332.40 ,352.10 ,358.40 ,385.30 ,384.80 ,386.30 ,374.80 ,284.50 ,62.10 ,1.70 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.60 ,63.60 ,283.50 ,344.70 ,362.10 ,360.00 ,382.70 ,382.50 ,384.50 ,370.20 ,285.10 ,65.80 ,2.00 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.80 ,49.20 ,155.00 ,209.20 ,244.70 ,265.10 ,299.00 ,292.40 ,280.30 ,245.10 ,197.80 ,66.90 ,5.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,1.50 ,42.80 ,175.80 ,272.50 ,302.80 ,303.80 ,340.00 ,339.60 ,329.70 ,308.20 ,231.00 ,56.70 ,1.30 ,0,0,0,,,,
0,0,0,0,0,0,0,0,1.50 ,42.80 ,175.80 ,272.50 ,302.80 ,303.80 ,340.00 ,339.60 ,329.70 ,308.20 ,231.00 ,56.70 ,1.30 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.20 ,54.60 ,210.10 ,285.40 ,310.30 ,316.90 ,361.20 ,348.80 ,356.10 ,338.30 ,263.90 ,70.50 ,1.00 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.40 ,74.10 ,230.50 ,308.40 ,327.60 ,345.80 ,339.80 ,340.70 ,315.80 ,283.10 ,236.00 ,84.70 ,6.90 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.10 ,83.60 ,295.90 ,367.50 ,378.90 ,379.70 ,380.60 ,379.00 ,384.40 ,374.00 ,295.10 ,74.30 ,1.60 ,0,0,0,,,,
0,0,0,0,0,0,0,0,5.20 ,92.70 ,308.00 ,372.60 ,379.90 ,380.30 ,375.70 ,376.80 ,377.60 ,368.80 ,297.20 ,78.30 ,1.90 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.50 ,85.10 ,291.20 ,373.60 ,384.00 ,382.70 ,381.50 ,383.60 ,384.00 ,353.40 ,291.20 ,76.80 ,2.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,3.80 ,71.50 ,255.70 ,341.10 ,350.80 ,362.10 ,357.00 ,349.00 ,340.20 ,299.30 ,220.80 ,67.00 ,2.70 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.10 ,81.40 ,267.20 ,327.60 ,333.30 ,347.40 ,347.20 ,341.00 ,332.00 ,327.90 ,254.60 ,78.30 ,3.70 ,0,0,0,,,,
0,0,0,0,0,0,0,0,2.40 ,39.50 ,130.70 ,184.70 ,208.50 ,226.80 ,315.90 ,306.70 ,291.80 ,265.60 ,201.20 ,51.50 ,3.30 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.90 ,88.10 ,289.50 ,340.60 ,347.60 ,363.50 ,376.20 ,376.00 ,376.40 ,371.20 ,318.60 ,103.20 ,4.60 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.50 ,71.30 ,245.60 ,297.80 ,324.70 ,323.00 ,333.10 ,343.60 ,340.40 ,312.70 ,248.00 ,98.80 ,6.20 ,0,0,0,,,,
0,0,0,0,0,0,0,0,3.80 ,62.20 ,196.40 ,285.10 ,303.20 ,311.50 ,292.00 ,300.70 ,284.60 ,259.00 ,204.30 ,70.30 ,5.70 ,0,0,0,,,,
0,0,0,0,0,0,0,0,5.40 ,86.70 ,271.80 ,354.30 ,371.40 ,371.60 ,343.00 ,336.60 ,323.30 ,296.40 ,235.00 ,75.50 ,4.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,8.40 ,125.40 ,391.30 ,449.80 ,460.70 ,467.10 ,435.00 ,435.60 ,430.30 ,422.10 ,347.60 ,118.20 ,6.10 ,0,0,0,,,,
0,0,0,0,0,0,0,0,7.40 ,116.00 ,361.00 ,437.40 ,458.70 ,465.70 ,448.20 ,444.10 ,446.60 ,429.60 ,363.20 ,141.30 ,7.30 ,0,0,0,,,,
0,0,0,0,0,0,0,0,7.60 ,118.70 ,334.20 ,421.70 ,446.50 ,443.50 ,444.40 ,444.90 ,434.20 ,402.30 ,344.30 ,125.20 ,6.90 ,0,0,0,,,,
0,0,0,0,0,0,0,0,1.80 ,22.80 ,75.30 ,112.10 ,143.70 ,168.00 ,167.30 ,175.70 ,167.90 ,119.20 ,79.00 ,30.20 ,2.60 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.50 ,67.90 ,222.30 ,328.70 ,346.90 ,369.40 ,372.30 ,376.80 ,355.40 ,257.10 ,196.60 ,78.70 ,6.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,7.90 ,114.40 ,326.40 ,387.10 ,415.60 ,423.10 ,421.20 ,415.10 ,410.10 ,389.90 ,322.20 ,150.60 ,9.60 ,0,0,0,,,,
0,0,0,0,0,0,0,0,9.30 ,126.40 ,337.10 ,408.10 ,429.20 ,436.90 ,414.60 ,409.80 ,389.40 ,372.30 ,313.70 ,153.50 ,10.90 ,0,0,0,,,,
0,0,0,0,0,0,0,0,8.60 ,118.10 ,336.10 ,409.10 ,418.50 ,419.50 ,371.30 ,371.20 ,355.80 ,313.30 ,275.10 ,128.00 ,10.40 ,0,0,0,,,,
0,0,0,0,0,0,0,0,8.70 ,136.40 ,345.50 ,410.80 ,417.90 ,420.70 ,392.20 ,385.50 ,388.90 ,331.80 ,286.70 ,143.70 ,11.90 ,0,0,0,,,,
0,0,0,0,0,0,0,0,3.10 ,46.30 ,115.90 ,167.50 ,195.70 ,212.30 ,258.20 ,249.30 ,238.20 ,210.20 ,140.90 ,61.40 ,7.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,5.10 ,72.20 ,198.90 ,259.30 ,289.60 ,296.40 ,332.30 ,318.10 ,301.20 ,283.20 ,242.10 ,113.80 ,11.00 ,0,0,0,,,,
0,0,0,0,0,0,0,0,6.80 ,105.60 ,272.10 ,351.90 ,365.90 ,388.70 ,355.20 ,343.70 ,339.30 ,289.60 ,219.30 ,101.80 ,9.90 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.50 ,63.40 ,166.40 ,226.80 ,251.60 ,259.20 ,287.70 ,283.70 ,268.80 ,240.50 ,187.80 ,83.90 ,10.10 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.10 ,53.90 ,159.90 ,229.60 ,253.30 ,261.40 ,272.50 ,273.70 ,255.30 ,225.20 ,177.00 ,91.40 ,10.00 ,0,0,0,,,,
0,0,0,0,0,0,0,0,8.00 ,113.10 ,268.50 ,330.00 ,360.00 ,359.50 ,336.80 ,339.30 ,334.40 ,259.40 ,213.80 ,99.80 ,8.20 ,0,0,0,,,,
0,0,0,0,0,0,0,0,9.60 ,136.00 ,335.80 ,381.50 ,397.80 ,399.50 ,362.30 ,360.10 ,348.90 ,329.00 ,289.00 ,156.40 ,15.10 ,0,0,0,,,,
0,0,0,0,0,0,0,0,8.50 ,116.50 ,268.00 ,324.00 ,339.20 ,346.10 ,335.60 ,339.90 ,338.10 ,312.40 ,268.60 ,137.60 ,14.20 ,0,0,0,,,,
0,0,0,0,0,0,0,0,7.10 ,100.80 ,237.00 ,300.90 ,322.50 ,333.00 ,337.00 ,337.80 ,315.20 ,271.40 ,230.50 ,115.20 ,15.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,10.30 ,130.60 ,318.50 ,387.30 ,405.90 ,409.10 ,391.80 ,394.70 ,387.60 ,328.30 ,276.70 ,161.10 ,17.00 ,0.1,0,0,,,,
0,0,0,0,0,0,0,0,10.50 ,136.70 ,319.00 ,383.10 ,393.00 ,397.90 ,389.00 ,398.50 ,386.50 ,338.10 ,300.90 ,172.30 ,19.40 ,0.1,0,0,,,,
0,0,0,0,0,0,0,0,8.70 ,90.30 ,224.80 ,335.30 ,357.20 ,381.40 ,378.30 ,381.20 ,376.60 ,331.00 ,286.60 ,172.10 ,22.00 ,0.2,0,0,,,,
0,0,0,0,0,0,0,0,6.20 ,79.40 ,201.20 ,266.30 ,294.00 ,322.80 ,345.90 ,340.70 ,333.70 ,287.50 ,240.50 ,140.50 ,17.80 ,0.2,0,0,,,,
0,0,0,0,0,0,0,0,9.70 ,123.50 ,294.40 ,372.60 ,384.20 ,408.60 ,397.00 ,393.80 ,388.60 ,368.40 ,320.70 ,209.00 ,28.90 ,0.6,0,0,,,,
0,0,0,0,0,0,0,0,13.00 ,159.60 ,345.10 ,403.30 ,418.40 ,422.60 ,425.70 ,415.60 ,410.80 ,407.50 ,354.30 ,235.00 ,29.80 ,0.6,0,0,,,,
0,0,0,0,0,0,0,0,11.00 ,141.20 ,314.10 ,376.00 ,410.90 ,410.70 ,396.90 ,404.80 ,389.20 ,343.60 ,298.80 ,196.40 ,29.00 ,0.6,0,0,,,,
0,0,0,0,0,0,0,0,15.20 ,167.50 ,345.00 ,390.50 ,403.90 ,404.90 ,387.80 ,392.10 ,393.00 ,379.00 ,325.50 ,212.00 ,33.20 ,0.7,0,0,,,,
0,0,0,0,0,0,0,0,11.50 ,150.20 ,330.50 ,383.40 ,394.70 ,395.30 ,387.50 ,384.70 ,381.20 ,351.30 ,303.70 ,195.80 ,36.80 ,1.1,0,0,,,,
0,0,0,0,0,0,0,0,10.10 ,109.40 ,230.10 ,262.50 ,280.80 ,288.20 ,268.10 ,283.80 ,276.80 ,245.10 ,207.70 ,125.80 ,28.60 ,1,0,0,,,,
0,0,0,0,0,0,0,0,9.40 ,88.30 ,192.20 ,239.00 ,259.10 ,265.80 ,266.80 ,263.50 ,253.70 ,225.80 ,196.60 ,111.80 ,22.00 ,0.7,0,0,,,,
0,0,0,0,0,0,0,0,13.20 ,135.50 ,289.20 ,334.00 ,357.40 ,366.20 ,355.10 ,343.50 ,332.70 ,301.70 ,253.40 ,156.80 ,35.70 ,1.2,0,0,,,,
