0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
77.03,76.72,77.63,78.97,81.54,83.69,87.11,89.45,91.59,93.89,95.29,96.48,96.52,95.54,92.92,89.74,86.98,84.58,81.79,79.57,78.43,78.16,77.35,76.72
76.35,76.86,78.17,80.22,83.06,86.38,89.61,91.7,93.84,96.04,97.42,98.15,97.98,97.02,94.17,88.85,87.83,85.49,83.49,81.35,79.73,78.35,77.54,76.94
76.42,76.13,77.42,79.84,82.78,85.38,88.86,91.6,94.75,96.08,96.53,96.51,95.29,93,91.13,89.16,86.89,85.96,85.26,75.82,72.75,72.4,72.55,72.47
72.88,72.5,73.8,74.85,76.23,77.89,79.03,80.06,81.41,83.14,84.69,87.54,88.36,88.05,86.04,80.27,77.71,77.14,77.14,76.69,75.2,74.37,74.03,73.97
74.13,74.52,76.08,79.02,82.34,85.69,89.45,91.65,93.97,96.02,97.09,97.56,97.84,96.91,93.24,88.46,86.25,85.49,83.97,81.2,79.3,77.96,77.41,76.7
76.59,76.79,78.36,80.37,82.8,86.9,89.52,91.53,93.8,95.8,96.83,97.41,96.92,95.43,92.17,89.46,88.08,85.77,83.55,81.04,79.26,77.69,76.85,76.15
75.56,75.54,77.95,80.54,83.18,85.18,87.55,90.01,91.86,93.63,95.34,95.89,95.8,94.82,92.7,89.25,86.74,84.98,82.47,80.23,78.6,77.16,76.19,74.81
74.54,74.53,76.16,78.92,81.4,84.63,87.78,90.1,92.13,93,94.38,94.75,94.5,92.78,89.89,86.3,83.93,82.46,80.62,79.12,77.79,76.97,76.42,75.97
75.43,75.32,77.07,80.07,82.9,85.44,88.59,90.07,91.23,93.43,93.36,86.82,83.33,84.62,83.37,81.81,79.85,79.2,77.83,77.21,76.55,76.76,77.03,77.26
77.31,77.21,78.86,81.35,83.97,86.83,88.91,91.27,92.77,94.12,95.29,95.7,95.06,93.41,91.02,87.88,85.1,83.3,81.06,80.16,79.45,78.94,78.46,77.8
77.89,78.04,78.95,81.37,83.47,87.34,88.84,90.94,92.3,93.56,94.45,94.98,94.35,93.22,91.2,88.6,85.5,83.64,81.46,79.88,79.37,79.65,79.11,78.91
78.34,78.41,79.3,81.47,83.75,86.43,88.97,91.65,93.25,94.94,95.48,96.07,95.7,94.41,92.23,88.85,86.18,83.83,81.63,79.36,78.03,77.27,76.73,76.55
76.6,77.21,78.56,81.16,83.77,87.19,89.58,91.69,93.11,94.96,95.81,95.91,95.4,94.65,92.33,89.13,86.76,85.56,83.1,80.52,78.21,76.75,75.02,74.32
74.11,73.51,76.68,80.44,83.74,86.72,88.39,90.73,92.52,94.1,94.64,94.27,91.25,90.23,88.4,85.68,83.58,81.84,80.97,79.54,77.64,76.7,75.87,75.32
74.93,74.5,76.55,79.55,82.3,85.35,88.04,90.52,92.32,93.32,93.8,91.71,90.62,87.33,86.62,84.79,83.75,82.18,80.48,78.86,77.69,77.25,76.75,76.36
75.82,75.56,77.01,79.04,81.18,83.79,87,88.69,90,89.21,88.02,88.48,89.75,89.63,88.05,85.59,83.56,81.67,79.56,77.73,76.3,74.84,73.99,73.69
73.37,72.98,76.01,78.9,80.56,81.87,84.45,87.25,89.07,90.67,91.55,91.3,89.88,87.28,84.64,82.87,81.34,80.47,80.06,79.42,78.24,77.3,76.23,75.64
